violation_type,count
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""NO PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""NO PARKING"",""PARKING ON FOOTPATH"",""DOUBLE PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DEFECTIVE NUMBER PLATE""]",1
"[""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""FAIL TO USE SAFETY BELTS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""DEFECTIVE NUMBER PLATE"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING OTHER THAN BUS STOP"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""NO PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING ON FOOTPATH"",""WRONG PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""DOUBLE PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OTHER THAN BUS STOP""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DEFECTIVE NUMBER PLATE"",""PARKING OTHER THAN BUS STOP""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""REFUSE TO GO FOR HIRE"",""WRONG PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""PARKING ON FOOTPATH""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",1
"[""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE"",""WRONG PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""REFUSE TO GO FOR HIRE"",""WRONG PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DOUBLE PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DOUBLE PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""PARKING OTHER THAN BUS STOP"",""PARKING IN A MAIN ROAD""]",1
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",1
"[""DEFECTIVE NUMBER PLATE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""REFUSE TO GO FOR HIRE""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DOUBLE PARKING"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING"",""WRONG PARKING""]",1
"[""NO PARKING"",""REFUSE TO GO FOR HIRE"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING IN A MAIN ROAD""]",1
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH""]",1
"[""WRONG PARKING"",""NO PARKING"",""DEMANDING EXCESS FARE"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""REFUSE TO GO FOR HIRE"",""DEFECTIVE NUMBER PLATE"",""DEMANDING EXCESS FARE"",""NO PARKING""]",1
"[""WRONG PARKING"",""DOUBLE PARKING"",""PARKING OTHER THAN BUS STOP""]",1
"[""DOUBLE PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""AGAINST ONE WAY/NO ENTRY"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH""]",1
"[""PARKING IN A MAIN ROAD"",""REFUSE TO GO FOR HIRE"",""NO PARKING"",""WRONG PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""NO PARKING""]",1
"[""DOUBLE PARKING"",""NO PARKING"",""WRONG PARKING""]",1
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""NO PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",1
"[""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING"",""PARKING ON FOOTPATH""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""USING BLACK FILM/OTHER MATERIALS"",""DEFECTIVE NUMBER PLATE"",""NO PARKING""]",1
"[""DEMANDING EXCESS FARE"",""NO PARKING""]",1
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""DOUBLE PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",1
"[""WRONG PARKING"",""DOUBLE PARKING"",""NO PARKING""]",1
"[""DOUBLE PARKING"",""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""REFUSE TO GO FOR HIRE"",""WRONG PARKING"",""DEMANDING EXCESS FARE""]",1
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING"",""PARKING IN A MAIN ROAD""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING IN A MAIN ROAD""]",1
"[""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""H T V PROHIBITED"",""OTHER - USING MOBILE PHONE"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""CARRYING LENGHTY MATERIAL"",""DEFECTIVE NUMBER PLATE"",""DEMANDING EXCESS FARE""]",1
"[""WRONG PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""NO PARKING"",""WITHOUT SIDE MIRROR""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",1
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""DEFECTIVE NUMBER PLATE"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""H T V PROHIBITED""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""WRONG PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""REFUSE TO GO FOR HIRE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING ON FOOTPATH"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""H T V PROHIBITED"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",1
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""DEMANDING EXCESS FARE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE""]",1
